,94,131,171,193,304,211,335,6173
2013-06-16,2013-06-16T00:00:01.12Z,2013-06-16T00:00:08.62Z,2013-06-16T00:00:11.34Z,2013-06-16T00:00:06.84Z,2013-06-16T00:00:07.12Z,2013-06-15T23:59:59.63Z,2013-06-16T00:00:02.63Z,2013-06-15T23:58:25.40Z
2013-06-17,2013-06-17T00:00:01.12Z,2013-06-17T00:00:08.62Z,2013-06-17T00:00:11.34Z,2013-06-17T00:00:06.84Z,2013-06-17T00:00:07.13Z,2013-06-16T23:59:59.62Z,2013-06-17T00:00:02.62Z,2013-06-16T23:58:25.40Z
2013-06-18,2013-06-18T00:00:01.12Z,2013-06-18T00:00:08.62Z,2013-06-18T00:00:11.34Z,2013-06-18T00:00:06.84Z,2013-06-18T00:00:07.12Z,2013-06-17T23:59:59.62Z,2013-06-18T00:00:02.62Z,2013-06-17T23:58:25.50Z
2013-06-19,2013-06-19T00:00:01.12Z,2013-06-19T00:00:08.62Z,2013-06-19T00:00:11.34Z,2013-06-19T00:00:06.84Z,2013-06-19T00:00:07.12Z,2013-06-18T23:59:59.63Z,2013-06-19T00:00:02.62Z,2013-06-18T23:58:25.50Z
2013-06-20,2013-06-20T00:00:01.12Z,2013-06-20T00:00:08.62Z,2013-06-20T00:00:11.34Z,2013-06-20T00:00:06.84Z,2013-06-20T00:00:07.12Z,2013-06-19T23:59:59.62Z,2013-06-20T00:00:02.63Z,2013-06-19T23:58:25.50Z
2013-06-21,2013-06-21T00:00:01.12Z,2013-06-21T00:00:08.62Z,2013-06-21T00:00:11.34Z,2013-06-21T00:00:06.84Z,2013-06-21T00:00:07.12Z,2013-06-20T23:59:59.62Z,2013-06-21T00:00:02.62Z,2013-06-20T23:58:25.60Z
2013-06-22,2013-06-22T00:00:01.12Z,2013-06-22T00:00:08.62Z,2013-06-22T00:00:11.34Z,2013-06-22T00:00:06.84Z,2013-06-22T00:00:07.12Z,2013-06-21T23:59:59.63Z,2013-06-22T00:00:02.63Z,2013-06-21T23:58:25.60Z
2013-06-23,2013-06-23T00:00:01.13Z,2013-06-23T00:00:08.63Z,2013-06-23T00:00:11.34Z,2013-06-23T00:00:06.84Z,2013-06-23T00:00:07.12Z,2013-06-22T23:59:59.62Z,2013-06-23T00:00:02.62Z,2013-06-22T23:58:25.60Z
2013-06-24,2013-06-24T00:00:01.12Z,2013-06-24T00:00:08.62Z,2013-06-24T00:00:11.34Z,2013-06-24T00:00:06.84Z,2013-06-24T00:00:07.12Z,2013-06-23T23:59:59.63Z,2013-06-24T00:00:02.62Z,2013-06-23T23:58:25.60Z
2013-06-27,2013-06-27T00:00:01.12Z,2013-06-27T00:00:08.62Z,2013-06-27T00:00:11.34Z,2013-06-27T00:00:06.84Z,2013-06-27T00:00:07.12Z,2013-06-26T23:59:59.62Z,2013-06-27T00:00:02.62Z,2013-06-26T23:58:25.70Z
2013-06-28,2013-06-28T00:00:01.12Z,2013-06-28T00:00:08.62Z,2013-06-28T00:00:11.34Z,2013-06-28T00:00:06.84Z,2013-06-28T00:00:07.12Z,2013-06-27T23:59:59.63Z,2013-06-28T00:00:02.63Z,2013-06-27T23:58:25.70Z
2013-06-29,2013-06-29T00:00:01.12Z,2013-06-29T00:00:08.62Z,2013-06-29T00:00:11.34Z,2013-06-29T00:00:06.84Z,2013-06-29T00:00:07.12Z,2013-06-28T23:59:59.63Z,2013-06-29T00:00:02.63Z,2013-06-28T23:58:25.70Z
2013-06-30,2013-06-30T00:00:01.12Z,2013-06-30T00:00:08.62Z,2013-06-30T00:00:11.34Z,2013-06-30T00:00:06.84Z,2013-06-30T00:00:07.12Z,2013-06-29T23:59:59.62Z,2013-06-30T00:00:02.62Z,2013-06-29T23:58:25.80Z
2013-07-01,2013-07-01T00:00:01.12Z,2013-07-01T00:00:08.62Z,2013-07-01T00:00:11.34Z,2013-07-01T00:00:06.84Z,2013-07-01T00:00:07.13Z,2013-06-30T23:59:59.63Z,2013-07-01T00:00:02.63Z,2013-06-30T23:58:25.80Z
2013-07-02,2013-07-02T00:00:01.12Z,2013-07-02T00:00:08.62Z,2013-07-02T00:00:11.34Z,2013-07-02T00:00:06.84Z,2013-07-02T00:00:07.12Z,2013-07-01T23:59:59.62Z,2013-07-02T00:00:02.62Z,2013-07-01T23:58:25.80Z
2013-07-03,2013-07-03T00:00:01.12Z,2013-07-03T00:00:12.19Z,2013-07-03T00:00:11.34Z,2013-07-03T00:00:08.76Z,2013-07-03T00:00:07.13Z,2013-07-02T23:59:59.62Z,2013-07-03T00:00:02.62Z,2013-07-02T23:58:25.80Z
2013-07-04,2013-07-04T00:00:01.12Z,2013-07-04T00:00:08.62Z,2013-07-04T00:00:11.34Z,2013-07-04T00:00:06.84Z,2013-07-04T00:00:07.12Z,2013-07-03T23:59:59.62Z,2013-07-04T00:00:02.62Z,2013-07-03T23:58:25.80Z
2013-07-05,2013-07-05T00:00:01.12Z,2013-07-05T00:00:08.64Z,2013-07-05T00:00:11.34Z,2013-07-05T00:00:06.84Z,2013-07-05T00:00:07.12Z,2013-07-04T23:59:59.62Z,2013-07-05T00:00:02.62Z,2013-07-04T23:58:25.80Z
2013-07-06,2013-07-06T00:00:01.12Z,2013-07-06T00:00:08.62Z,2013-07-06T00:00:11.34Z,2013-07-06T00:00:06.84Z,2013-07-06T00:00:07.12Z,2013-07-05T23:59:59.62Z,2013-07-06T00:00:02.62Z,2013-07-05T23:58:25.80Z
2013-07-11,2013-07-11T00:00:01.13Z,2013-07-11T00:00:08.62Z,2013-07-11T00:00:11.34Z,2013-07-11T00:00:06.84Z,2013-07-11T00:00:07.12Z,2013-07-10T23:59:59.62Z,2013-07-11T00:00:02.62Z,2013-07-10T23:58:25.80Z
2013-07-12,2013-07-12T00:00:01.13Z,2013-07-12T00:00:08.62Z,2013-07-12T00:00:11.34Z,2013-07-12T00:00:06.84Z,2013-07-12T00:00:07.12Z,2013-07-11T23:59:59.62Z,2013-07-12T00:00:02.62Z,2013-07-11T23:58:25.70Z
2013-07-14,2013-07-14T00:00:01.12Z,2013-07-14T00:00:08.62Z,2013-07-14T00:00:11.34Z,2013-07-14T00:00:06.84Z,2013-07-14T00:00:07.12Z,2013-07-13T23:59:59.62Z,2013-07-14T00:00:02.62Z,2013-07-13T23:58:25.70Z
2013-07-15,2013-07-15T00:00:01.12Z,2013-07-15T00:00:08.62Z,2013-07-15T00:00:11.34Z,2013-07-15T00:00:06.84Z,2013-07-15T00:00:07.12Z,2013-07-14T23:59:59.62Z,2013-07-15T00:00:02.62Z,2013-07-14T23:58:25.70Z
2013-07-16,2013-07-16T00:00:01.12Z,2013-07-16T00:00:08.62Z,2013-07-16T00:00:11.34Z,2013-07-16T00:00:06.84Z,2013-07-16T00:00:07.12Z,2013-07-15T23:59:59.62Z,2013-07-16T00:00:02.63Z,2013-07-15T23:58:25.60Z
2013-07-17,2013-07-17T00:00:01.12Z,2013-07-17T00:00:08.62Z,2013-07-17T00:00:11.34Z,2013-07-17T00:00:06.84Z,2013-07-17T00:00:07.12Z,2013-07-16T23:59:59.62Z,2013-07-17T00:00:02.62Z,2013-07-16T23:58:25.60Z
2013-07-18,2013-07-18T00:00:01.12Z,2013-07-18T00:00:08.63Z,2013-07-18T00:00:11.35Z,2013-07-18T00:00:06.84Z,2013-07-18T00:00:07.12Z,2013-07-17T23:59:59.63Z,2013-07-18T00:00:02.62Z,2013-07-17T23:58:25.60Z
2013-07-19,2013-07-19T00:00:01.12Z,2013-07-19T00:00:08.62Z,2013-07-19T00:00:11.34Z,2013-07-19T00:00:06.84Z,2013-07-19T00:00:07.12Z,2013-07-18T23:59:59.62Z,2013-07-19T00:00:02.62Z,2013-07-18T23:58:25.50Z
2013-07-21,2013-07-21T00:00:01.12Z,2013-07-21T00:00:08.62Z,2013-07-21T00:00:11.34Z,2013-07-21T00:00:06.84Z,2013-07-21T00:00:07.12Z,2013-07-20T23:59:59.63Z,2013-07-21T00:00:02.63Z,2013-07-20T23:58:25.50Z
2013-07-22,2013-07-22T00:00:01.12Z,2013-07-22T00:00:08.62Z,2013-07-22T00:00:11.34Z,2013-07-22T00:00:06.84Z,2013-07-22T00:00:07.12Z,2013-07-21T23:59:59.62Z,2013-07-22T00:00:02.63Z,2013-07-21T23:58:25.40Z
2013-07-23,2013-07-22T23:00:01.12Z,2013-07-22T23:00:08.62Z,2013-07-22T23:00:11.34Z,2013-07-22T23:00:06.84Z,2013-07-22T23:00:07.12Z,2013-07-22T22:59:59.62Z,2013-07-22T23:00:02.62Z,2013-07-22T20:58:25.30Z
2013-07-24,2013-07-24T00:00:01.13Z,2013-07-24T00:00:08.62Z,2013-07-24T00:00:11.34Z,2013-07-24T00:00:06.84Z,2013-07-24T00:00:07.12Z,2013-07-23T23:59:59.62Z,2013-07-24T00:00:02.62Z,2013-07-23T23:58:25.30Z
2013-07-25,2013-07-25T00:00:01.12Z,2013-07-25T00:00:08.62Z,2013-07-25T00:00:11.34Z,2013-07-25T00:00:06.84Z,2013-07-25T00:00:07.12Z,2013-07-24T23:59:59.63Z,2013-07-25T00:00:02.63Z,2013-07-24T23:58:25.30Z
2013-07-27,2013-07-27T00:00:01.13Z,2013-07-27T00:00:08.62Z,2013-07-27T00:00:11.34Z,2013-07-27T00:00:06.84Z,2013-07-27T00:00:07.13Z,2013-07-26T23:59:59.63Z,2013-07-27T00:00:02.62Z,2013-07-26T23:58:25.20Z
2013-07-28,2013-07-28T00:00:01.13Z,2013-07-28T00:00:08.62Z,2013-07-28T00:00:11.34Z,2013-07-28T00:00:06.84Z,2013-07-28T00:00:07.12Z,2013-07-27T23:59:59.62Z,2013-07-28T00:00:02.62Z,2013-07-27T23:58:25.10Z
2013-07-29,2013-07-29T00:00:01.12Z,2013-07-29T00:00:08.62Z,2013-07-29T00:00:11.34Z,2013-07-29T00:00:06.84Z,2013-07-29T00:00:07.12Z,2013-07-28T23:59:59.62Z,2013-07-29T00:00:02.62Z,2013-07-28T23:58:25.10Z
2013-07-30,2013-07-30T00:00:01.12Z,2013-07-30T00:00:08.62Z,2013-07-30T00:00:11.34Z,2013-07-30T00:00:08.42Z,2013-07-30T00:00:07.12Z,2013-07-29T23:59:59.62Z,2013-07-30T00:00:02.62Z,2013-07-29T23:58:25.00Z
2013-07-31,2013-07-31T00:00:01.13Z,2013-07-31T00:00:08.62Z,2013-07-31T00:00:11.34Z,2013-07-31T00:00:06.84Z,2013-07-31T00:00:07.13Z,2013-07-30T23:59:59.62Z,2013-07-31T00:00:02.62Z,2013-07-30T23:58:25.00Z
2013-08-01,2013-08-01T00:00:01.12Z,2013-08-01T00:00:08.62Z,2013-08-01T00:00:11.34Z,2013-08-01T00:00:06.84Z,2013-08-01T00:00:07.12Z,2013-07-31T23:59:59.63Z,2013-08-01T00:00:02.62Z,2013-07-31T23:58:24.90Z
2013-08-02,2013-08-02T00:00:01.12Z,2013-08-02T00:00:08.62Z,2013-08-02T00:00:11.34Z,2013-08-02T00:00:06.84Z,2013-08-02T00:00:07.12Z,2013-08-01T23:59:59.62Z,2013-08-02T00:00:02.62Z,2013-08-01T23:58:24.90Z
2013-08-03,2013-08-03T00:00:01.12Z,2013-08-03T00:00:08.62Z,2013-08-03T00:00:11.34Z,2013-08-03T00:00:06.84Z,2013-08-03T00:00:07.12Z,2013-08-02T23:59:59.63Z,2013-08-03T00:00:02.63Z,2013-08-02T23:58:24.80Z
2013-08-04,2013-08-04T00:00:01.12Z,2013-08-04T00:00:08.62Z,2013-08-04T00:00:11.34Z,2013-08-04T00:00:06.84Z,2013-08-04T00:00:07.13Z,2013-08-03T23:59:59.62Z,2013-08-04T00:00:02.62Z,2013-08-03T23:58:24.70Z
2013-08-05,2013-08-05T00:00:01.12Z,2013-08-05T00:00:08.62Z,2013-08-05T00:00:11.34Z,2013-08-05T00:00:06.84Z,2013-08-05T00:00:07.12Z,2013-08-04T23:59:59.62Z,2013-08-05T00:00:02.62Z,2013-08-04T23:58:24.70Z
2013-08-06,2013-08-06T00:00:01.12Z,2013-08-06T00:00:08.62Z,2013-08-06T00:00:11.34Z,2013-08-06T00:00:06.84Z,2013-08-06T00:00:07.12Z,2013-08-05T23:59:59.63Z,2013-08-06T00:00:02.63Z,2013-08-05T23:58:24.60Z
2013-08-08,2013-08-08T00:00:01.12Z,2013-08-08T00:00:08.64Z,2013-08-08T00:00:11.34Z,2013-08-08T00:00:06.84Z,2013-08-08T00:00:07.12Z,2013-08-07T23:59:59.62Z,2013-08-08T00:00:02.62Z,2013-08-07T23:58:24.40Z
2013-08-09,2013-08-09T00:00:01.13Z,2013-08-09T00:00:08.62Z,2013-08-09T00:00:11.34Z,2013-08-09T00:00:06.84Z,2013-08-09T00:00:07.12Z,2013-08-08T23:59:59.62Z,2013-08-09T00:00:02.62Z,2013-08-08T23:58:24.40Z
2013-08-10,2013-08-10T00:00:01.12Z,2013-08-10T00:00:08.62Z,2013-08-10T00:00:11.34Z,2013-08-10T00:00:06.84Z,2013-08-10T00:00:07.12Z,2013-08-09T23:59:59.62Z,2013-08-10T00:00:02.63Z,2013-08-09T23:58:24.30Z
2013-08-11,2013-08-11T00:00:01.12Z,2013-08-11T00:00:08.62Z,2013-08-11T00:00:11.34Z,2013-08-11T00:00:08.64Z,2013-08-11T00:00:07.13Z,2013-08-10T23:59:59.63Z,2013-08-11T00:00:02.63Z,2013-08-10T23:58:24.20Z
2013-08-12,2013-08-12T00:00:01.12Z,2013-08-12T00:00:08.62Z,2013-08-12T00:00:11.35Z,2013-08-12T00:00:06.84Z,2013-08-12T00:00:07.12Z,2013-08-11T23:59:59.63Z,2013-08-12T00:00:02.63Z,2013-08-11T23:58:24.10Z
2013-08-13,2013-08-13T00:00:01.12Z,2013-08-13T00:00:08.62Z,2013-08-13T00:00:11.34Z,2013-08-13T00:00:06.84Z,2013-08-13T00:00:07.13Z,2013-08-12T23:59:59.62Z,2013-08-13T00:00:02.62Z,2013-08-12T23:58:24.00Z
2013-08-14,2013-08-14T00:00:01.12Z,2013-08-14T00:00:08.62Z,2013-08-14T00:00:11.34Z,2013-08-14T00:00:06.84Z,2013-08-14T00:00:07.13Z,2013-08-13T23:59:59.62Z,2013-08-14T00:00:02.62Z,2013-08-13T23:58:23.90Z
2013-08-15,2013-08-15T00:00:01.12Z,2013-08-15T00:00:08.62Z,2013-08-15T00:00:11.34Z,2013-08-15T00:00:06.84Z,2013-08-15T00:00:07.12Z,2013-08-14T23:59:59.63Z,2013-08-15T00:00:02.62Z,2013-08-14T23:58:23.80Z
2013-08-16,2013-08-16T00:00:01.12Z,2013-08-16T00:00:08.62Z,2013-08-16T00:00:11.34Z,2013-08-16T00:00:06.84Z,2013-08-16T00:00:07.13Z,2013-08-15T23:59:59.62Z,2013-08-16T00:00:02.62Z,2013-08-15T23:58:23.70Z
2013-08-17,2013-08-17T00:00:01.12Z,2013-08-17T00:00:08.62Z,2013-08-17T00:00:11.34Z,2013-08-17T00:00:06.84Z,2013-08-17T00:00:07.12Z,2013-08-16T23:59:59.63Z,2013-08-17T00:00:02.63Z,2013-08-16T23:58:23.70Z
2013-08-18,2013-08-18T00:00:01.12Z,2013-08-18T00:00:08.62Z,2013-08-18T00:00:11.34Z,2013-08-18T00:00:06.84Z,2013-08-18T00:00:07.12Z,2013-08-17T23:59:59.62Z,2013-08-18T00:00:02.62Z,2013-08-17T23:58:23.60Z
2013-08-19,2013-08-19T00:00:01.12Z,2013-08-19T00:00:08.62Z,2013-08-19T00:00:11.34Z,2013-08-19T00:00:06.84Z,2013-08-19T00:00:07.12Z,2013-08-18T23:59:59.62Z,2013-08-19T00:00:02.62Z,2013-08-18T23:58:23.50Z
2013-08-20,2013-08-20T00:00:01.12Z,2013-08-20T00:00:08.64Z,2013-08-20T00:00:11.34Z,2013-08-20T00:00:06.84Z,2013-08-20T00:00:07.12Z,2013-08-19T23:59:59.62Z,2013-08-20T00:00:02.62Z,2013-08-19T23:58:23.40Z
2013-08-21,2013-08-21T00:00:01.13Z,2013-08-21T00:00:08.64Z,2013-08-21T00:00:11.34Z,2013-08-21T00:00:06.84Z,2013-08-21T00:00:07.13Z,2013-08-20T23:59:59.62Z,2013-08-21T00:00:02.62Z,2013-08-20T23:58:23.30Z
2013-08-22,2013-08-22T00:00:01.12Z,2013-08-22T00:00:08.62Z,2013-08-22T00:00:11.34Z,2013-08-22T00:00:06.84Z,2013-08-22T00:00:07.12Z,2013-08-21T23:59:59.62Z,2013-08-22T00:00:02.62Z,2013-08-21T23:58:23.20Z
2013-08-23,2013-08-23T00:00:01.12Z,2013-08-23T00:00:08.62Z,2013-08-23T00:00:11.34Z,2013-08-23T00:00:06.84Z,2013-08-23T00:00:07.12Z,2013-08-22T23:59:59.62Z,2013-08-23T00:00:02.63Z,2013-08-22T23:58:23.10Z
2013-08-24,2013-08-24T00:00:01.12Z,2013-08-24T00:00:08.62Z,2013-08-24T00:00:11.34Z,2013-08-24T00:00:06.84Z,2013-08-24T00:00:07.12Z,2013-08-23T23:59:59.62Z,2013-08-24T00:00:02.62Z,2013-08-23T23:58:22.90Z
2013-08-25,2013-08-25T00:00:01.12Z,2013-08-25T00:00:08.62Z,2013-08-25T00:00:11.34Z,2013-08-25T00:00:06.84Z,2013-08-25T00:00:07.12Z,2013-08-24T23:59:59.62Z,2013-08-25T00:00:02.62Z,2013-08-24T23:58:22.80Z
2013-08-26,2013-08-26T00:00:01.12Z,2013-08-26T00:00:08.62Z,2013-08-26T00:00:11.34Z,2013-08-26T00:00:06.84Z,2013-08-26T00:00:07.12Z,2013-08-25T23:59:59.62Z,2013-08-26T00:00:02.62Z,2013-08-25T23:58:22.70Z
2013-08-27,2013-08-27T00:00:01.12Z,2013-08-27T00:00:08.62Z,2013-08-27T00:00:11.34Z,2013-08-27T00:00:06.84Z,2013-08-27T00:00:07.12Z,2013-08-26T23:59:59.63Z,2013-08-27T00:00:02.63Z,2013-08-26T23:58:22.60Z
2013-08-28,2013-08-28T00:00:01.12Z,2013-08-28T00:00:08.62Z,2013-08-28T00:00:11.34Z,2013-08-28T00:00:06.84Z,2013-08-28T00:00:07.12Z,2013-08-27T23:59:59.62Z,2013-08-28T00:00:02.62Z,2013-08-27T23:58:22.50Z
2013-08-30,2013-08-30T00:00:01.12Z,2013-08-30T00:00:08.62Z,2013-08-30T00:00:11.34Z,2013-08-30T00:00:06.84Z,2013-08-30T00:00:07.12Z,2013-08-29T23:59:59.63Z,2013-08-30T00:00:02.63Z,2013-08-29T23:58:22.30Z
2013-08-31,2013-08-31T00:00:01.12Z,2013-08-31T00:00:08.62Z,2013-08-31T00:00:11.34Z,2013-08-31T00:00:06.84Z,2013-08-31T00:00:07.14Z,2013-08-30T23:59:59.62Z,2013-08-31T00:00:02.62Z,2013-08-30T23:58:22.20Z
2013-09-01,2013-09-01T00:00:01.12Z,2013-09-01T00:00:08.62Z,2013-09-01T00:00:11.34Z,2013-09-01T00:00:06.84Z,2013-09-01T00:00:07.12Z,2013-08-31T23:59:59.62Z,2013-09-01T00:00:02.62Z,2013-08-31T23:58:22.10Z
2013-09-02,2013-09-02T00:00:01.12Z,2013-09-02T00:00:08.62Z,2013-09-02T00:00:11.34Z,2013-09-02T00:00:06.84Z,2013-09-02T00:00:07.13Z,2013-09-01T23:59:59.62Z,2013-09-02T00:00:02.62Z,2013-09-01T23:58:22.00Z
2013-09-03,2013-09-03T00:00:01.12Z,2013-09-03T00:00:08.62Z,2013-09-03T00:00:11.34Z,2013-09-03T00:00:06.84Z,2013-09-03T00:00:07.12Z,2013-09-02T23:59:59.63Z,2013-09-03T00:00:02.63Z,2013-09-02T23:58:21.80Z
2013-09-04,2013-09-04T00:00:01.12Z,2013-09-04T00:00:08.62Z,2013-09-04T00:00:11.34Z,2013-09-04T00:00:06.84Z,2013-09-04T00:00:07.12Z,2013-09-03T23:59:59.62Z,2013-09-04T00:00:02.62Z,2013-09-03T23:58:21.70Z
2013-09-05,2013-09-05T00:00:01.13Z,2013-09-05T00:00:08.62Z,2013-09-05T00:00:11.34Z,2013-09-05T00:00:06.84Z,2013-09-05T00:00:07.12Z,2013-09-04T23:59:59.62Z,2013-09-05T00:00:02.62Z,2013-09-04T23:58:21.60Z
2013-09-06,2013-09-06T00:00:01.12Z,2013-09-06T00:00:08.62Z,2013-09-06T00:00:11.34Z,2013-09-06T00:00:06.84Z,2013-09-06T00:00:07.12Z,2013-09-05T23:59:59.63Z,2013-09-06T00:00:02.63Z,2013-09-05T23:58:21.50Z
2013-09-07,2013-09-07T00:00:01.12Z,2013-09-07T00:00:08.62Z,2013-09-07T00:00:11.34Z,2013-09-07T00:00:06.84Z,2013-09-07T00:00:07.13Z,2013-09-06T23:59:59.62Z,2013-09-07T00:00:02.62Z,2013-09-06T23:58:21.40Z
2013-09-08,2013-09-08T00:00:01.12Z,2013-09-08T00:00:08.63Z,2013-09-08T00:00:11.34Z,2013-09-08T00:00:08.93Z,2013-09-08T00:00:07.12Z,2013-09-07T23:59:59.62Z,2013-09-08T00:00:02.62Z,2013-09-07T23:58:21.20Z
2013-09-09,2013-09-09T00:00:01.12Z,2013-09-09T00:00:08.62Z,2013-09-09T00:00:11.34Z,2013-09-09T00:00:06.84Z,2013-09-09T00:00:07.13Z,2013-09-08T23:59:59.63Z,2013-09-09T00:00:02.62Z,2013-09-08T23:58:21.10Z
2013-09-10,2013-09-10T00:00:01.12Z,2013-09-10T00:00:08.62Z,2013-09-10T00:00:11.34Z,2013-09-10T00:00:06.84Z,2013-09-10T00:00:07.12Z,2013-09-09T23:59:59.62Z,2013-09-10T00:00:02.62Z,2013-09-09T23:58:21.00Z
2013-09-11,2013-09-11T00:00:01.12Z,2013-09-11T00:00:08.64Z,2013-09-11T00:00:11.34Z,2013-09-11T00:00:06.84Z,2013-09-11T00:00:07.12Z,2013-09-10T23:59:59.63Z,2013-09-11T00:00:02.63Z,2013-09-10T23:58:20.80Z
2013-09-12,2013-09-12T00:00:01.14Z,2013-09-12T00:00:08.62Z,2013-09-12T00:00:11.34Z,2013-09-12T00:00:06.84Z,2013-09-12T00:00:07.12Z,2013-09-11T23:59:59.62Z,2013-09-12T00:00:02.62Z,2013-09-11T23:58:20.70Z
2013-09-13,2013-09-13T00:00:01.12Z,2013-09-13T00:00:08.62Z,2013-09-13T00:00:11.34Z,2013-09-13T00:00:06.84Z,2013-09-13T00:00:07.12Z,2013-09-12T23:59:59.62Z,2013-09-13T00:00:02.62Z,2013-09-12T23:58:20.60Z
2013-09-14,2013-09-14T00:00:01.12Z,2013-09-14T00:00:08.62Z,2013-09-14T00:00:11.34Z,2013-09-14T00:00:06.84Z,2013-09-14T00:00:07.12Z,2013-09-13T23:59:59.62Z,2013-09-14T00:00:02.62Z,2013-09-13T23:58:20.40Z
2013-09-15,2013-09-15T00:00:01.12Z,2013-09-15T00:00:08.62Z,2013-09-15T00:00:11.34Z,2013-09-15T00:00:06.84Z,2013-09-15T00:00:07.14Z,2013-09-14T23:59:59.62Z,2013-09-15T00:00:02.62Z,2013-09-14T23:58:20.30Z
2013-09-16,2013-09-16T00:00:01.12Z,2013-09-16T00:00:08.62Z,2013-09-16T00:00:11.34Z,2013-09-16T00:00:06.84Z,2013-09-16T00:00:07.12Z,2013-09-15T23:59:59.62Z,2013-09-16T00:00:02.63Z,2013-09-15T23:58:20.20Z
2013-09-17,2013-09-17T00:00:01.13Z,2013-09-17T00:00:08.62Z,2013-09-17T00:00:11.34Z,2013-09-17T00:00:06.84Z,2013-09-17T00:00:07.12Z,2013-09-16T23:59:59.62Z,2013-09-17T00:00:02.62Z,2013-09-16T23:58:20.00Z
2013-09-18,2013-09-18T00:00:01.12Z,2013-09-18T00:00:08.62Z,2013-09-18T00:00:11.35Z,2013-09-18T00:00:06.84Z,2013-09-18T00:00:07.12Z,2013-09-17T23:59:59.63Z,2013-09-18T00:00:02.63Z,2013-09-17T23:58:19.90Z
2013-09-19,2013-09-19T00:00:01.12Z,2013-09-19T00:00:08.64Z,2013-09-19T00:00:11.34Z,2013-09-19T00:00:06.84Z,2013-09-19T00:00:07.12Z,2013-09-18T23:59:59.62Z,2013-09-19T00:00:02.62Z,2013-09-18T23:58:19.80Z
2013-09-20,2013-09-20T00:00:01.12Z,2013-09-20T00:00:08.62Z,2013-09-20T00:00:11.34Z,2013-09-20T00:00:06.84Z,2013-09-20T00:00:07.14Z,2013-09-19T23:59:59.62Z,2013-09-20T00:00:02.62Z,2013-09-19T23:58:19.60Z
2013-09-21,2013-09-21T00:00:01.12Z,2013-09-21T00:00:08.62Z,2013-09-21T00:00:11.34Z,2013-09-21T00:00:06.84Z,2013-09-21T00:00:07.12Z,2013-09-20T23:59:59.62Z,2013-09-21T00:00:02.63Z,2013-09-20T23:58:19.50Z
2013-09-22,2013-09-22T00:00:01.12Z,2013-09-22T00:00:08.63Z,2013-09-22T00:00:11.34Z,2013-09-22T00:00:06.84Z,2013-09-22T00:00:07.13Z,2013-09-21T23:59:59.62Z,2013-09-22T00:00:02.63Z,2013-09-21T23:58:19.30Z
2013-09-23,2013-09-23T00:00:01.12Z,2013-09-23T00:00:08.62Z,2013-09-23T00:00:11.34Z,2013-09-23T00:00:06.84Z,2013-09-23T00:00:07.14Z,2013-09-22T23:59:59.63Z,2013-09-23T00:00:02.63Z,2013-09-22T23:58:19.20Z
2013-09-24,2013-09-24T00:00:01.12Z,2013-09-24T00:00:08.62Z,2013-09-24T00:00:11.34Z,2013-09-24T00:00:06.84Z,2013-09-24T00:00:07.12Z,2013-09-23T23:59:59.62Z,2013-09-24T00:00:02.63Z,2013-09-23T23:58:19.10Z
2013-09-25,2013-09-25T00:00:01.12Z,2013-09-25T00:00:08.62Z,2013-09-25T00:00:11.34Z,2013-09-25T00:00:06.84Z,2013-09-25T00:00:07.12Z,2013-09-24T23:59:59.63Z,2013-09-25T00:00:02.63Z,2013-09-24T23:58:18.90Z
2013-09-26,2013-09-26T00:00:01.12Z,2013-09-26T00:00:08.62Z,2013-09-26T00:00:11.35Z,2013-09-26T00:00:06.84Z,2013-09-26T00:00:07.14Z,2013-09-25T23:59:59.63Z,2013-09-26T00:00:02.63Z,2013-09-25T23:58:18.80Z
2013-09-27,2013-09-27T00:00:01.13Z,2013-09-27T00:00:08.62Z,2013-09-27T00:00:11.34Z,2013-09-27T00:00:06.84Z,2013-09-27T00:00:07.12Z,2013-09-26T23:59:59.63Z,2013-09-27T00:00:02.62Z,2013-09-26T23:58:18.70Z
2013-09-28,2013-09-28T00:00:01.12Z,2013-09-28T00:00:08.62Z,2013-09-28T00:00:11.34Z,2013-09-28T00:00:06.84Z,2013-09-28T00:00:07.12Z,2013-09-27T23:59:59.62Z,2013-09-28T00:00:02.62Z,2013-09-27T23:58:18.50Z
2013-09-29,2013-09-29T00:00:01.14Z,2013-09-29T00:00:08.62Z,2013-09-29T00:00:11.34Z,2013-09-29T00:00:06.84Z,2013-09-29T00:00:07.12Z,2013-09-28T23:59:59.62Z,2013-09-29T00:00:02.62Z,2013-09-28T23:58:18.40Z
2013-10-02,2013-10-02T00:00:01.14Z,2013-10-02T00:00:08.62Z,2013-10-02T00:00:11.34Z,2013-10-02T00:00:06.84Z,2013-10-02T00:00:07.12Z,2013-10-01T23:59:59.63Z,2013-10-02T00:00:02.62Z,2013-10-01T23:58:18.00Z
2013-10-03,2013-10-03T00:42:13.12Z,2013-10-03T00:42:08.62Z,2013-10-03T00:42:11.34Z,2013-10-03T00:42:06.84Z,2013-10-03T00:42:07.11Z,2013-10-03T00:42:11.62Z,2013-10-03T00:42:02.60Z,2013-10-03T00:58:17.90Z
